timestamp,z
12:54:13.149,0.31
12:54:13.162,-3.00
12:54:13.173,-0.33
12:54:13.182,-2.48
12:54:13.192,0.78
12:54:13.206,-1.44
12:54:13.219,1.00
12:54:13.227,0.24
12:54:13.239,1.00
12:54:13.251,1.00
12:54:13.264,0.99
12:54:13.272,-1.31
12:54:13.284,1.00
12:54:13.294,-2.47
12:54:13.308,1.00
12:54:13.317,-0.20
12:54:13.329,0.49
12:54:13.342,-0.52
12:54:13.354,1.00
12:54:13.362,0.70
12:54:13.374,1.00
12:54:13.386,-1.48
12:54:13.399,0.97
12:54:13.407,-1.26
12:54:13.419,1.00
12:54:13.431,-1.31
12:54:13.444,1.00
12:54:13.450,0.71
12:54:13.463,-0.10
12:54:13.474,-0.47
12:54:13.489,-2.10
12:54:13.496,0.88
12:54:13.509,1.00
12:54:13.521,-1.07
12:54:13.533,-0.63
12:54:13.542,-1.89
12:54:13.554,0.55
12:54:13.566,-0.25
12:54:13.578,-0.09
12:54:13.586,-0.08
12:54:13.599,-1.20
12:54:13.612,0.66
12:54:13.625,-0.23
12:54:13.633,-0.28
12:54:13.645,-1.70
12:54:13.657,-0.50
12:54:13.669,-2.08
12:54:13.677,1.00
12:54:13.689,0.12
12:54:13.700,1.00
12:54:13.711,1.00
12:54:13.722,0.10
12:54:13.735,-1.17
12:54:13.746,1.00
12:54:13.759,-2.30
12:54:13.767,1.00
12:54:13.779,-1.65
12:54:13.791,0.28
12:54:13.801,-1.15
12:54:13.812,1.00
12:54:13.825,0.39
12:54:13.837,0.70
12:54:13.849,-0.14
12:54:13.858,-0.37
12:54:13.870,-0.36
12:54:13.882,-0.09
12:54:13.895,-0.47
12:54:13.902,-0.46
12:54:13.915,-0.54
12:54:13.927,0.01
12:54:13.939,-0.10
12:54:13.948,-0.32
12:54:13.960,-0.22
12:54:13.972,-1.80
12:54:13.985,-1.09
12:54:13.993,0.31
12:54:14.005,-0.59
12:54:14.017,-0.89
12:54:14.030,-1.86
12:54:14.038,0.40
12:54:14.050,0.86
12:54:14.062,0.34
12:54:14.074,-0.06
12:54:14.083,-0.19
12:54:14.093,1.00
12:54:14.108,-2.61
12:54:14.119,1.00
12:54:14.128,-2.92
12:54:14.140,1.00
